Lowerbound	TP	FP	FN	TN	P	N	Total	TPR	TNR	PPV	NPV	FNR	FPR	FDR	FOR	ACC	F1
0.92	4200	591	5161	14484	9361	15075	24436	0.44866999983787537	0.9607959985733032	0.876643717288971	0.7372868657112122	0.5513299703598022	0.03920400142669678	0.12335628271102905	0.26271313428878784	0.7646095752716064	0.5935556888580322
0.93	4162	629	5252	14394	9414	15023	24437	0.44210749864578247	0.9581308364868164	0.8687121868133545	0.7326682209968567	0.5578925013542175	0.041869163513183594	0.1312878131866455	0.2673317790031433	0.7593403458595276	0.585990846157074
0.94	4137	653	5313	14332	9450	14985	24435	0.4377777874469757	0.9564231038093567	0.8636743426322937	0.7295495271682739	0.5622222423553467	0.04357689619064331	0.1363256573677063	0.2704504728317261	0.7558420300483704	0.581039309501648
0.83	4234	557	5611	14034	9845	14591	24436	0.4300660192966461	0.9618257880210876	0.8837403655052185	0.7143802642822266	0.5699340105056763	0.038174211978912354	0.1162596344947815	0.28561973571777344	0.7475855350494385	0.5785733461380005
0.84	4222	568	5587	14058	9809	14626	24435	0.43042105436325073	0.9611650705337524	0.8814195990562439	0.715601921081543	0.5695789456367493	0.03883492946624756	0.1185804009437561	0.28439807891845703	0.7481071949005127	0.5783957839012146
0.85	4222	568	5587	14058	9809	14626	24435	0.43042105436325073	0.9611650705337524	0.8814195990562439	0.715601921081543	0.5695789456367493	0.03883492946624756	0.1185804009437561	0.28439807891845703	0.7481071949005127	0.5783957839012146
0.91	4189	601	5512	14133	9701	14734	24435	0.4318111538887024	0.9592099785804749	0.8745302557945251	0.7194197177886963	0.5681888461112976	0.040790021419525146	0.12546974420547485	0.2805802822113037	0.7498260736465454	0.5781520009040833
0.86	4209	581	5617	14028	9826	14609	24435	0.42835333943367004	0.9602299928665161	0.878705620765686	0.7140748500823975	0.5716466903686523	0.03977000713348389	0.12129437923431396	0.28592514991760254	0.7463474273681641	0.575944185256958
0.87	4196	594	5648	13998	9844	14592	24436	0.42624950408935547	0.9592927694320679	0.8759916424751282	0.7125114798545837	0.5737504959106445	0.04070723056793213	0.12400835752487183	0.28748852014541626	0.7445572018623352	0.5734590888023376
0.88	4196	594	5648	13998	9844	14592	24436	0.42624950408935547	0.9592927694320679	0.8759916424751282	0.7125114798545837	0.5737504959106445	0.04070723056793213	0.12400835752487183	0.28748852014541626	0.7445572018623352	0.5734590888023376
0.89	4183	607	5678	13967	9861	14574	24435	0.4241963326931	0.9583504796028137	0.8732776641845703	0.7109696865081787	0.5758036375045776	0.04164952039718628	0.1267223358154297	0.2890303134918213	0.7427870035171509	0.5710189938545227
0.9	4183	607	5678	13967	9861	14574	24435	0.4241963326931	0.9583504796028137	0.8732776641845703	0.7109696865081787	0.5758036375045776	0.04164952039718628	0.1267223358154297	0.2890303134918213	0.7427870035171509	0.5710189938545227
0.96	4011	780	5555	14091	9566	14871	24437	0.4192975163459778	0.9475489258766174	0.8371947407722473	0.7172452211380005	0.5807024836540222	0.05245107412338257	0.16280525922775269	0.2827547788619995	0.740761935710907	0.5587518811225891
0.95	4030	760	5612	14033	9642	14793	24435	0.41796308755874634	0.9486243724822998	0.8413361310958862	0.7143293619155884	0.5820369124412537	0.051375627517700195	0.15866386890411377	0.2856706380844116	0.7392265200614929	0.5584810972213745
0.82	4216	575	6116	13529	10332	14104	24436	0.4080526530742645	0.959231436252594	0.8799833059310913	0.6886739730834961	0.5919473171234131	0.040768563747406006	0.12001669406890869	0.3113260269165039	0.7261826992034912	0.5575612783432007
0.79	4226	565	6180	13466	10406	14031	24437	0.40611186623573303	0.9597319960594177	0.8820705413818359	0.6854321360588074	0.5938881635665894	0.040268003940582275	0.11792945861816406	0.3145678639411926	0.7239841222763062	0.556162416934967
0.8	4226	565	6180	13466	10406	14031	24437	0.40611186623573303	0.9597319960594177	0.8820705413818359	0.6854321360588074	0.5938881635665894	0.040268003940582275	0.11792945861816406	0.3145678639411926	0.7239841222763062	0.556162416934967
0.77	4224	566	6227	13419	10451	13985	24436	0.4041718542575836	0.9595280885696411	0.8818371891975403	0.6830397844314575	0.5958281755447388	0.04047191143035889	0.11816281080245972	0.3169602155685425	0.7220085263252258	0.5542943477630615
0.78	4224	566	6227	13419	10451	13985	24436	0.4041718542575836	0.9595280885696411	0.8818371891975403	0.6830397844314575	0.5958281755447388	0.04047191143035889	0.11816281080245972	0.3169602155685425	0.7220085263252258	0.5542943477630615
0.81	4212	579	6211	13435	10423	14014	24437	0.4041062891483307	0.9586841464042664	0.8791484236717224	0.6838542222976685	0.5958937406539917	0.04131585359573364	0.12085157632827759	0.31614577770233154	0.7221426367759705	0.5537005066871643
0.99	3925	865	5477	14169	9402	15034	24436	0.41746437549591064	0.942463755607605	0.8194154500961304	0.7212154865264893	0.5825356245040894	0.05753624439239502	0.18058454990386963	0.27878451347351074	0.7404648661613464	0.5531285405158997
0.76	4222	568	6273	13373	10495	13941	24436	0.4022867977619171	0.9592568874359131	0.8814195990562439	0.6806983351707458	0.5977132320404053	0.040743112564086914	0.1185804009437561	0.31930166482925415	0.7200441956520081	0.5524370074272156
0.98	3951	840	5575	14071	9526	14911	24437	0.4147596061229706	0.9436657428741455	0.8246712684631348	0.7162272334098816	0.585240364074707	0.05633425712585449	0.17532873153686523	0.2837727665901184	0.7374882102012634	0.5519312620162964
0.97	3977	813	5664	13982	9641	14795	24436	0.41250908374786377	0.945048987865448	0.8302714228630066	0.7116970419883728	0.5874909162521362	0.054951012134552	0.1697285771369934	0.2883029580116272	0.734940230846405	0.5511746406555176
1	3789	1001	5252	14394	9041	15395	24436	0.41909080743789673	0.9349789023399353	0.7910229563713074	0.7326682209968567	0.5809091925621033	0.0650210976600647	0.20897704362869263	0.2673317790031433	0.7441070675849915	0.5478996634483337
0.73	4229	562	6421	13224	10650	13786	24436	0.3970892131328583	0.9592339992523193	0.8826967477798462	0.6731483936309814	0.6029107570648193	0.040766000747680664	0.11730325222015381	0.32685160636901855	0.7142331004142761	0.5477624535560608
0.74	4229	562	6421	13224	10650	13786	24436	0.3970892131328583	0.9592339992523193	0.8826967477798462	0.6731483936309814	0.6029107570648193	0.040766000747680664	0.11730325222015381	0.32685160636901855	0.7142331004142761	0.5477624535560608
0.75	4216	574	6408	13237	10624	13811	24435	0.39683735370635986	0.9584389328956604	0.8801670074462891	0.6738101243972778	0.6031626462936401	0.0415610671043396	0.11983299255371094	0.32618987560272217	0.7142623066902161	0.5470351576805115
0.69	4227	564	6465	13180	10692	13744	24436	0.39534232020378113	0.958963930606842	0.8822792768478394	0.6709086298942566	0.6046576499938965	0.04103606939315796	0.11772072315216064	0.3290913701057434	0.712350606918335	0.5460181832313538
0.7	4227	564	6465	13180	10692	13744	24436	0.39534232020378113	0.958963930606842	0.8822792768478394	0.6709086298942566	0.6046576499938965	0.04103606939315796	0.11772072315216064	0.3290913701057434	0.712350606918335	0.5460181832313538
0.71	4227	564	6465	13180	10692	13744	24436	0.39534232020378113	0.958963930606842	0.8822792768478394	0.6709086298942566	0.6046576499938965	0.04103606939315796	0.11772072315216064	0.3290913701057434	0.712350606918335	0.5460181832313538
0.72	4227	564	6465	13180	10692	13744	24436	0.39534232020378113	0.958963930606842	0.8822792768478394	0.6709086298942566	0.6046576499938965	0.04103606939315796	0.11772072315216064	0.3290913701057434	0.712350606918335	0.5460181832313538
0.67	4235	556	6563	13083	10798	13639	24437	0.3922022581100464	0.9592345356941223	0.8839491009712219	0.665937066078186	0.6077977418899536	0.040765464305877686	0.11605089902877808	0.33406293392181396	0.7086794376373291	0.5433318018913269
0.66	4234	556	6605	13041	10839	13597	24436	0.3906264305114746	0.9591086506843567	0.8839248418807983	0.6637992262840271	0.6093735694885254	0.04089134931564331	0.11607515811920166	0.3362007737159729	0.7069487571716309	0.5418132543563843
0.68	4221	570	6593	13052	10814	13622	24436	0.3903273642063141	0.9581559300422668	0.8810269236564636	0.6643929481506348	0.6096726655960083	0.041844069957733154	0.11897307634353638	0.33560705184936523	0.7068669199943542	0.5409804582595825
0.65	4232	558	6646	12999	10878	13557	24435	0.38904210925102234	0.9588404297828674	0.8835073113441467	0.6616950631141663	0.6109578609466553	0.04115957021713257	0.11649268865585327	0.33830493688583374	0.7051770091056824	0.5402093529701233
0.53	4259	531	6910	12736	11169	13267	24436	0.38132330775260925	0.9599758982658386	0.8891440629959106	0.6482744812965393	0.6186766624450684	0.04002410173416138	0.11085593700408936	0.3517255187034607	0.6954902410507202	0.5337427258491516
0.54	4259	531	6910	12736	11169	13267	24436	0.38132330775260925	0.9599758982658386	0.8891440629959106	0.6482744812965393	0.6186766624450684	0.04002410173416138	0.11085593700408936	0.3517255187034607	0.6954902410507202	0.5337427258491516
0.55	4259	531	6910	12736	11169	13267	24436	0.38132330775260925	0.9599758982658386	0.8891440629959106	0.6482744812965393	0.6186766624450684	0.04002410173416138	0.11085593700408936	0.3517255187034607	0.6954902410507202	0.5337427258491516
0.52	4253	537	7022	12623	11275	13160	24435	0.3772062063217163	0.959194540977478	0.887891411781311	0.6425553560256958	0.6227937936782837	0.04080545902252197	0.11210858821868896	0.3574446439743042	0.6906486749649048	0.5294739603996277
0.61	4218	572	6926	12720	11144	13292	24436	0.3784996271133423	0.9569665789604187	0.8805845379829407	0.6474600434303284	0.6215003728866577	0.0430334210395813	0.11941546201705933	0.35253995656967163	0.6931576132774353	0.5294338464736938
0.62	4218	572	6926	12720	11144	13292	24436	0.3784996271133423	0.9569665789604187	0.8805845379829407	0.6474600434303284	0.6215003728866577	0.0430334210395813	0.11941546201705933	0.35253995656967163	0.6931576132774353	0.5294338464736938
0.63	4218	572	6926	12720	11144	13292	24436	0.3784996271133423	0.9569665789604187	0.8805845379829407	0.6474600434303284	0.6215003728866577	0.0430334210395813	0.11941546201705933	0.35253995656967163	0.6931576132774353	0.5294338464736938
0.64	4218	572	6926	12720	11144	13292	24436	0.3784996271133423	0.9569665789604187	0.8805845379829407	0.6474600434303284	0.6215003728866577	0.0430334210395813	0.11941546201705933	0.35253995656967163	0.6931576132774353	0.5294338464736938
0.56	4229	561	6971	12674	11200	13235	24435	0.37758928537368774	0.9576123952865601	0.8828809857368469	0.6451514363288879	0.6224107146263123	0.04238760471343994	0.11711901426315308	0.35484856367111206	0.691753625869751	0.5289555788040161
0.57	4229	561	6971	12674	11200	13235	24435	0.37758928537368774	0.9576123952865601	0.8828809857368469	0.6451514363288879	0.6224107146263123	0.04238760471343994	0.11711901426315308	0.35484856367111206	0.691753625869751	0.5289555788040161
0.59	4216	574	6964	12682	11180	13256	24436	0.37710195779800415	0.9566988348960876	0.8801670074462891	0.6455258131027222	0.6228980422019958	0.043301165103912354	0.11983299255371094	0.35447418689727783	0.6915206909179688	0.5279899835586548
0.6	4216	574	6964	12682	11180	13256	24436	0.37710195779800415	0.9566988348960876	0.8801670074462891	0.6455258131027222	0.6228980422019958	0.043301165103912354	0.11983299255371094	0.35447418689727783	0.6915206909179688	0.5279899835586548
0.58	4214	576	7002	12643	11216	13219	24435	0.3757132589817047	0.9564263820648193	0.8797494769096375	0.6435734033584595	0.6242867708206177	0.043573617935180664	0.12025052309036255	0.3564265966415405	0.689871072769165	0.5265524983406067
0.51	4261	530	7136	12509	11397	13039	24436	0.373870313167572	0.9593527317047119	0.8893759250640869	0.6367523670196533	0.626129686832428	0.040647268295288086	0.11062407493591309	0.3632476329803467	0.6862825155258179	0.5264393091201782
0.5	4255	536	7241	12404	11496	12940	24436	0.3701287508010864	0.9585780501365662	0.8881235718727112	0.6314074993133545	0.6298712491989136	0.04142194986343384	0.11187642812728882	0.3685925006866455	0.6817400455474854	0.522502601146698
0.49	4241	550	7476	12170	11717	12720	24437	0.3619527220726013	0.9567610025405884	0.8852013945579529	0.6194645166397095	0.6380472779273987	0.04323899745941162	0.11479860544204712	0.3805354833602905	0.6715636253356934	0.513811469078064
0.48	4226	564	7697	11948	11923	12512	24435	0.35444098711013794	0.9549232721328735	0.8822547197341919	0.6081954836845398	0.6455590128898621	0.045076727867126465	0.1177452802658081	0.3918045163154602	0.661919355392456	0.5057141184806824
0.47	4221	570	7758	11887	11979	12457	24436	0.3523666560649872	0.9542425870895386	0.8810269236564636	0.6050903797149658	0.6476333141326904	0.045757412910461426	0.11897307634353638	0.3949096202850342	0.659191370010376	0.5033989548683167
0.46	4219	572	7788	11857	12007	12429	24436	0.35137835144996643	0.9539785981178284	0.8806094527244568	0.6035632491111755	0.648621678352356	0.04602140188217163	0.11939054727554321	0.39643675088882446	0.6578817963600159	0.502321720123291
0.45	4229	562	7847	11799	12076	12361	24437	0.35019874572753906	0.9545344114303589	0.8826967477798462	0.6005802750587463	0.6498012542724609	0.04546558856964111	0.11730325222015381	0.39941972494125366	0.6558906435966492	0.5014525055885315
0.42	4239	551	7904	11743	12143	12294	24437	0.34909000992774963	0.955181360244751	0.8849686980247498	0.5976994037628174	0.6509100198745728	0.04481863975524902	0.11503130197525024	0.4023005962371826	0.6540082693099976	0.5006791353225708
0.44	4227	564	7876	11770	12103	12334	24437	0.34925225377082825	0.9542727470397949	0.8822792768478394	0.5991041660308838	0.6507477760314941	0.04572725296020508	0.11772072315216064	0.4008958339691162	0.6546220779418945	0.5004143714904785
0.43	4224	566	7905	11741	12129	12307	24436	0.34825626015663147	0.9540098905563354	0.8818371891975403	0.5976279973983765	0.6517437696456909	0.04599010944366455	0.11816281080245972	0.40237200260162354	0.6533393263816833	0.4993203282356262
0.4	4232	558	7988	11657	12220	12215	24435	0.34631749987602234	0.9543184638023376	0.8835073113441467	0.5933825373649597	0.6536824703216553	0.045681536197662354	0.11649268865585327	0.4066174626350403	0.6502557992935181	0.497589647769928
0.41	4232	558	7988	11657	12220	12215	24435	0.34631749987602234	0.9543184638023376	0.8835073113441467	0.5933825373649597	0.6536824703216553	0.045681536197662354	0.11649268865585327	0.4066174626350403	0.6502557992935181	0.497589647769928
0.39	4230	560	8016	11630	12246	12190	24436	0.34541890025138855	0.9540607333183289	0.8830897808074951	0.5919780135154724	0.6545810699462891	0.04593926668167114	0.11691021919250488	0.4080219864845276	0.6490423679351807	0.4965954124927521
0.38	4225	565	8071	11574	12296	12139	24435	0.34360766410827637	0.9534558057785034	0.8820459246635437	0.5891575217247009	0.6563923358917236	0.04654419422149658	0.1179540753364563	0.4108424782752991	0.6465725302696228	0.49455687403678894
0.37	4223	567	8098	11547	12321	12114	24435	0.34274816513061523	0.9531946778297424	0.8816283941268921	0.58778315782547	0.6572518348693848	0.04680532217025757	0.11837160587310791	0.41221684217453003	0.6453857421875	0.49360060691833496
0.36	4216	575	8178	11468	12394	12043	24437	0.3401646018028259	0.9522544145584106	0.8799833059310913	0.5837320685386658	0.6598353981971741	0.047745585441589355	0.12001669406890869	0.41626793146133423	0.6418136358261108	0.49066048860549927
0.35	4213	577	8205	11441	12418	12018	24436	0.3392655849456787	0.951988697052002	0.8795406818389893	0.5823577046394348	0.6607344150543213	0.04801130294799805	0.12045931816101074	0.4176422953605652	0.6406121850013733	0.489656001329422
0.33	4208	582	8257	11388	12465	11970	24435	0.3375852406024933	0.9513784646987915	0.8784968852996826	0.5796895027160645	0.6624147891998291	0.048621535301208496	0.12150311470031738	0.42031049728393555	0.6382647752761841	0.48774272203445435
0.34	4208	582	8257	11388	12465	11970	24435	0.3375852406024933	0.9513784646987915	0.8784968852996826	0.5796895027160645	0.6624147891998291	0.048621535301208496	0.12150311470031738	0.42031049728393555	0.6382647752761841	0.48774272203445435
0.15	4225	566	8399	11247	12624	11813	24437	0.3346799612045288	0.9520866870880127	0.8818618059158325	0.5724829435348511	0.6653200387954712	0.047913312911987305	0.11813819408416748	0.4275170564651489	0.6331382989883423	0.48521390557289124
0.16	4225	566	8399	11247	12624	11813	24437	0.3346799612045288	0.9520866870880127	0.8818618059158325	0.5724829435348511	0.6653200387954712	0.047913312911987305	0.11813819408416748	0.4275170564651489	0.6331382989883423	0.48521390557289124
0.3	4200	590	8333	11312	12533	11902	24435	0.3351152837276459	0.9504284858703613	0.8768267035484314	0.575820803642273	0.6648846864700317	0.04957151412963867	0.1231732964515686	0.42417919635772705	0.6348270773887634	0.4849044382572174
0.31	4200	590	8333	11312	12533	11902	24435	0.3351152837276459	0.9504284858703613	0.8768267035484314	0.575820803642273	0.6648846864700317	0.04957151412963867	0.1231732964515686	0.42417919635772705	0.6348270773887634	0.4849044382572174
0.32	4200	590	8333	11312	12533	11902	24435	0.3351152837276459	0.9504284858703613	0.8768267035484314	0.575820803642273	0.6648846864700317	0.04957151412963867	0.1231732964515686	0.42417919635772705	0.6348270773887634	0.4849044382572174
0.12	4223	568	8423	11223	12646	11791	24437	0.3339395821094513	0.9518276453018188	0.8814443945884705	0.5712613463401794	0.6660604476928711	0.04817235469818115	0.11855560541152954	0.42873865365982056	0.6320742964744568	0.4843722879886627
0.13	4223	568	8423	11223	12646	11791	24437	0.3339395821094513	0.9518276453018188	0.8814443945884705	0.5712613463401794	0.6660604476928711	0.04817235469818115	0.11855560541152954	0.42873865365982056	0.6320742964744568	0.4843722879886627
0.14	4223	568	8423	11223	12646	11791	24437	0.3339395821094513	0.9518276453018188	0.8814443945884705	0.5712613463401794	0.6660604476928711	0.04817235469818115	0.11855560541152954	0.42873865365982056	0.6320742964744568	0.4843722879886627
0.29	4198	593	8359	11287	12557	11880	24437	0.3343155086040497	0.9500841498374939	0.8762262463569641	0.5745189785957336	0.6656844615936279	0.049915850162506104	0.12377375364303589	0.42548102140426636	0.6336702704429626	0.4839751124382019
0.1	4220	570	8447	11199	12667	11769	24436	0.33314913511276245	0.9515676498413086	0.8810020685195923	0.570039689540863	0.6668508648872375	0.048432350158691406	0.11899793148040771	0.42996031045913696	0.6309952735900879	0.48347368836402893
0.11	4220	570	8447	11199	12667	11769	24436	0.33314913511276245	0.9515676498413086	0.8810020685195923	0.570039689540863	0.6668508648872375	0.048432350158691406	0.11899793148040771	0.42996031045913696	0.6309952735900879	0.48347368836402893
0.25	4195	595	8384	11262	12579	11857	24436	0.33349233865737915	0.9498186707496643	0.8757829070091248	0.5732464790344238	0.6665076613426208	0.05018132925033569	0.12421709299087524	0.42675352096557617	0.6325503587722778	0.4830445349216461
0.26	4195	595	8384	11262	12579	11857	24436	0.33349233865737915	0.9498186707496643	0.8757829070091248	0.5732464790344238	0.6665076613426208	0.05018132925033569	0.12421709299087524	0.42675352096557617	0.6325503587722778	0.4830445349216461
0.27	4195	595	8384	11262	12579	11857	24436	0.33349233865737915	0.9498186707496643	0.8757829070091248	0.5732464790344238	0.6665076613426208	0.05018132925033569	0.12421709299087524	0.42675352096557617	0.6325503587722778	0.4830445349216461
0.28	4195	595	8384	11262	12579	11857	24436	0.33349233865737915	0.9498186707496643	0.8757829070091248	0.5732464790344238	0.6665076613426208	0.05018132925033569	0.12421709299087524	0.42675352096557617	0.6325503587722778	0.4830445349216461
0.17	4206	584	8428	11218	12634	11802	24436	0.3329111933708191	0.9505168795585632	0.878079354763031	0.5710068345069885	0.6670888066291809	0.04948312044143677	0.121920645236969	0.4289931654930115	0.6311998963356018	0.48278239369392395
0.23	4193	598	8408	11237	12601	11835	24436	0.3327513635158539	0.9494718909263611	0.8751826286315918	0.5720030665397644	0.6672486066818237	0.050528109073638916	0.1248173713684082	0.4279969334602356	0.6314454078674316	0.48217570781707764
0.24	4193	598	8408	11237	12601	11835	24436	0.3327513635158539	0.9494718909263611	0.8751826286315918	0.5720030665397644	0.6672486066818237	0.050528109073638916	0.1248173713684082	0.4279969334602356	0.6314454078674316	0.48217570781707764
0.2	4190	601	8433	11212	12623	11813	24436	0.33193376660346985	0.9491238594055176	0.8745564818382263	0.570730447769165	0.6680662631988525	0.05087614059448242	0.12544351816177368	0.42926955223083496	0.6302995681762695	0.481222003698349
0.21	4190	601	8433	11212	12623	11813	24436	0.33193376660346985	0.9491238594055176	0.8745564818382263	0.570730447769165	0.6680662631988525	0.05087614059448242	0.12544351816177368	0.42926955223083496	0.6302995681762695	0.481222003698349
0.22	4190	601	8433	11212	12623	11813	24436	0.33193376660346985	0.9491238594055176	0.8745564818382263	0.570730447769165	0.6680662631988525	0.05087614059448242	0.12544351816177368	0.42926955223083496	0.6302995681762695	0.481222003698349
0.18	4187	603	8457	11188	12644	11791	24435	0.33114519715309143	0.9488592743873596	0.8741127252578735	0.5695087909698486	0.668854832649231	0.05114072561264038	0.12588727474212646	0.43049120903015137	0.6292203664779663	0.4803258180618286
0.19	4187	603	8457	11188	12644	11791	24435	0.33114519715309143	0.9488592743873596	0.8741127252578735	0.5695087909698486	0.668854832649231	0.05114072561264038	0.12588727474212646	0.43049120903015137	0.6292203664779663	0.4803258180618286
